"ZIP Code","Total Cases","Deaths"
"60472","1,542","N/A"
"60473","7,622","N/A"
"60474","207","N/A"
"60475","2,275","N/A"
"60476","627","N/A"
"60477","11,235","N/A"
"60478","5,136","N/A"
"60479","178","N/A"
"60480","1,531","N/A"
"60481","3,218","N/A"
"60482","2,950","N/A"
"60484","1,745","N/A"
"60485","13","N/A"
"60487","7,936","N/A"
"60488","7","N/A"
"60490","6,570","N/A"
"60491","6,096","N/A"
"60499","17","N/A"
"60501","3,184","N/A"
"60502","6,536","N/A"
"60503","4,890","N/A"
"60504","12,382","N/A"
"60505","20,258","N/A"
"60506","18,500","N/A"
"60507","99","N/A"
"60508","7","N/A"
"60510","8,446","N/A"
"60511","451","N/A"
"60512","334","N/A"
"60513","5,788","N/A"
"60514","2,952","N/A"
"60515","8,575","N/A"
"60516","8,280","N/A"
"60517","10,052","N/A"
"60518","993","N/A"
"60519","39","N/A"
"60520","856","N/A"
"60521","5,123","N/A"
"60522","38","N/A"
"60523","3,087","N/A"
"60524","10","N/A"
"60525","9,835","N/A"
"60526","4,192","N/A"
"60527","8,742","N/A"
"60528","9","N/A"
"60530","187","N/A"
"60531","656","N/A"
"60532","8,140","N/A"
"60534","3,184","N/A"
"60535","6","N/A"
"60536","49","N/A"
"60537","161","N/A"
"60538","9,832","N/A"
"60539","125","N/A"
"60540","12,181","N/A"
"60541","886","N/A"
"60542","6,153","N/A"
"60543","12,495","N/A"
"60544","8,818","N/A"
"60545","4,896","N/A"
"60546","4,805","N/A"
"60548","3,978","N/A"
"60549","207","N/A"
"60550","459","N/A"
"60551","2,285","N/A"
"60552","1,203","N/A"
"60553","189","N/A"
"60554","3,522","N/A"
"60555","4,584","N/A"
"60556","512","N/A"
"60557","13","N/A"
"60558","3,873","N/A"
"60559","7,651","N/A"
"60560","8,729","N/A"
"60561","6,532","N/A"
"60562","7","N/A"
"60563","12,207","N/A"
"60564","12,902","N/A"
"60565","11,122","N/A"
"60566","21","N/A"
"60567","84","N/A"
"60568","7","N/A"
"60569","6","N/A"
"60585","7,771","N/A"
"60586","16,325","N/A"
"60598","32","N/A"
"60601","5,591","N/A"
"60602","495","N/A"
"60603","433","N/A"
"60604","486","N/A"
"60605","7,610","N/A"
"60606","1,222","N/A"
"60607","9,201","N/A"
"60608","20,734","N/A"
"60609","17,415","N/A"
"60610","11,335","N/A"
"60611","9,155","N/A"
"60612","10,657","N/A"
"60613","13,494","N/A"
"60614","19,279","N/A"
"60615","9,987","N/A"
"60616","12,465","N/A"
"60617","20,547","N/A"
"60618","25,519","N/A"
"60619","15,245","N/A"
"60620","16,790","N/A"
"60621","7,468","N/A"
"60622","15,223","N/A"
"60623","25,084","N/A"
"60624","9,642","N/A"
"60625","22,240","N/A"
"60626","13,595","N/A"
"60627","15","N/A"
"60628","16,637","N/A"
"60629","35,032","N/A"
"60630","16,738","N/A"
"60631","9,899","N/A"
"60632","26,603","N/A"
"60633","4,323","N/A"
"60634","25,769","N/A"
"60635","15","N/A"
"60636","9,093","N/A"
"60637","13,055","N/A"
"60638","19,055","N/A"
"60639","30,102","N/A"
"60640","17,562","N/A"
"60641","22,026","N/A"
"60642","5,648","N/A"
"60643","13,710","N/A"
"60644","12,818","N/A"
"60645","14,333","N/A"
"60646","8,940","N/A"
"60647","24,170","N/A"
"60649","11,019","N/A"
"60650","37","N/A"
"60651","18,281","N/A"
"60652","13,309","N/A"
"60653","8,971","N/A"
"60654","6,008","N/A"
"60655","8,699","N/A"
"60656","8,663","N/A"
"60657","19,350","N/A"
"60659","12,170","N/A"
"60660","10,905","N/A"
"60661","3,037","N/A"
"60663","9","N/A"
"60664","10","N/A"
"60666","20","N/A"
"60680","147","N/A"
"60690","46","N/A"
"60699","7","N/A"
"60706","7,968","N/A"
"60707","14,356","N/A"
"60712","6,164","N/A"
"60713","8","N/A"
"60714","11,259","N/A"
"60803","6,163","N/A"
"60804","25,978","N/A"
"60805","6,173","N/A"
"60806","7","N/A"
"60827","6,412","N/A"
"60864","6","N/A"
"60901","13,135","N/A"
"60910","123","N/A"
"60911","404","N/A"
"60912","107","N/A"
"60913","449","N/A"
"60914","9,781","N/A"
"60915","3,639","N/A"
"60917","141","N/A"
"60918","289","N/A"
"60919","152","N/A"
"60920","43","N/A"
"60921","525","N/A"
"60922","678","N/A"
"60924","566","N/A"
"60926","12","N/A"
"60927","678","N/A"
"60928","199","N/A"
"60929","217","N/A"
"60930","378","N/A"
"60931","159","N/A"
"60932","42","N/A"
"60933","97","N/A"
"60934","110","N/A"
"60935","313","N/A"
"60936","1,699","N/A"
"60938","769","N/A"
"60939","12","N/A"
"60940","820","N/A"
"60941","660","N/A"
"60942","3,055","N/A"
"60944","33","N/A"
"60945","42","N/A"
"60946","129","N/A"
"60948","538","N/A"
"60949","214","N/A"
"60950","3,706","N/A"
"60951","207","N/A"
"60952","251","N/A"
"60953","723","N/A"
"60954","1,868","N/A"
"60955","687","N/A"
"60956","36","N/A"
"60957","2,412","N/A"
"60958","505","N/A"
"60959","359","N/A"
"60960","351","N/A"
